step 0: classification- train loss 0.0565, classification-val loss 0.0566
iter 0: loss 1.0757, time 16637.07ms, mfu -100.00%
iter 1: loss 1.1191, time 8541.63ms, mfu -100.00%
iter 2: loss 1.1099, time 8695.61ms, mfu -100.00%
iter 3: loss 1.0813, time 8728.45ms, mfu -100.00%
iter 4: loss 1.1062, time 8731.81ms, mfu -100.00%
iter 5: loss 0.9993, time 8855.64ms, mfu 0.46%
iter 6: loss 1.0767, time 8733.73ms, mfu 0.46%
iter 7: loss 0.9299, time 8756.78ms, mfu 0.46%
iter 8: loss 0.8948, time 8779.70ms, mfu 0.47%
iter 9: loss 0.8054, time 8747.13ms, mfu 0.47%
iter 10: loss 0.8738, time 8886.25ms, mfu 0.47%
iter 11: loss 0.8723, time 8816.60ms, mfu 0.47%
iter 12: loss 0.7573, time 8798.95ms, mfu 0.47%
iter 13: loss 0.6643, time 8806.75ms, mfu 0.47%
iter 14: loss 0.7151, time 8816.27ms, mfu 0.47%
iter 15: loss 0.7454, time 8795.01ms, mfu 0.47%
iter 16: loss 0.7473, time 8926.94ms, mfu 0.47%
iter 17: loss 0.8992, time 8796.45ms, mfu 0.47%
iter 18: loss 0.7129, time 8828.60ms, mfu 0.47%
iter 19: loss 0.6702, time 8814.88ms, mfu 0.47%
iter 20: loss 0.7321, time 8816.29ms, mfu 0.47%
iter 21: loss 1.0225, time 8942.74ms, mfu 0.46%
iter 22: loss 0.9301, time 8826.83ms, mfu 0.46%
iter 23: loss 0.9763, time 8814.41ms, mfu 0.46%
iter 24: loss 0.9250, time 8830.89ms, mfu 0.46%
iter 25: loss 0.6499, time 8833.43ms, mfu 0.46%
iter 26: loss 0.6646, time 8826.18ms, mfu 0.46%
iter 27: loss 0.6305, time 8932.07ms, mfu 0.46%
iter 28: loss 0.6222, time 8824.57ms, mfu 0.46%
iter 29: loss 0.9136, time 8828.97ms, mfu 0.46%
iter 30: loss 0.6177, time 8821.91ms, mfu 0.46%
iter 31: loss 0.5529, time 8831.74ms, mfu 0.46%
iter 32: loss 0.6224, time 8926.49ms, mfu 0.46%
iter 33: loss 0.5952, time 8833.16ms, mfu 0.46%
iter 34: loss 0.9570, time 8839.28ms, mfu 0.46%
iter 35: loss 0.5189, time 8818.74ms, mfu 0.46%
iter 36: loss 0.4906, time 8843.73ms, mfu 0.46%
iter 37: loss 0.8046, time 8833.85ms, mfu 0.46%
iter 38: loss 0.6734, time 8955.03ms, mfu 0.46%
iter 39: loss 0.6970, time 8837.87ms, mfu 0.46%
iter 40: loss 0.4740, time 8838.75ms, mfu 0.46%
iter 41: loss 0.4728, time 8848.33ms, mfu 0.46%
iter 42: loss 0.5079, time 8845.61ms, mfu 0.46%
iter 43: loss 0.4436, time 8939.17ms, mfu 0.46%
iter 44: loss 0.5523, time 8845.80ms, mfu 0.46%
iter 45: loss 0.3962, time 8820.25ms, mfu 0.46%
iter 46: loss 0.5421, time 8843.02ms, mfu 0.46%
iter 47: loss 0.4684, time 8846.79ms, mfu 0.46%
iter 48: loss 0.3227, time 8906.21ms, mfu 0.46%
iter 49: loss 0.9072, time 8864.13ms, mfu 0.46%
iter 50: loss 0.3237, time 8850.50ms, mfu 0.46%
iter 51: loss 0.7237, time 8821.61ms, mfu 0.46%
iter 52: loss 0.2415, time 8853.63ms, mfu 0.46%
iter 53: loss 0.5990, time 8833.13ms, mfu 0.46%
iter 54: loss 0.5316, time 8949.42ms, mfu 0.46%
iter 55: loss 0.2821, time 8849.64ms, mfu 0.46%
iter 56: loss 0.5445, time 8853.63ms, mfu 0.46%
iter 57: loss 0.8938, time 8837.40ms, mfu 0.46%
iter 58: loss 0.3253, time 8840.89ms, mfu 0.46%
iter 59: loss 0.3073, time 8957.89ms, mfu 0.46%
iter 60: loss 0.4356, time 8850.19ms, mfu 0.46%
