step 0: classification- train loss 0.0565, classification-val loss 0.0566
iter 0: loss 1.0757, time 15520.53ms, mfu -100.00%
iter 1: loss 1.1191, time 8611.81ms, mfu -100.00%
iter 2: loss 1.1099, time 8747.90ms, mfu -100.00%
iter 3: loss 1.0813, time 8752.50ms, mfu -100.00%
iter 4: loss 1.1062, time 8760.87ms, mfu -100.00%
iter 5: loss 0.9993, time 8862.47ms, mfu 0.46%
iter 6: loss 1.0767, time 8787.32ms, mfu 0.46%
iter 7: loss 0.9299, time 8801.07ms, mfu 0.46%
iter 8: loss 0.8948, time 8792.65ms, mfu 0.46%
iter 9: loss 0.8054, time 8817.83ms, mfu 0.46%
iter 10: loss 0.8738, time 8913.24ms, mfu 0.46%
iter 11: loss 0.8723, time 8809.59ms, mfu 0.46%
iter 12: loss 0.7573, time 8817.70ms, mfu 0.46%
iter 13: loss 0.6643, time 8802.30ms, mfu 0.46%
iter 14: loss 0.7151, time 8830.61ms, mfu 0.46%
iter 15: loss 0.7454, time 8811.28ms, mfu 0.46%
iter 16: loss 0.7473, time 8928.48ms, mfu 0.46%
iter 17: loss 0.8992, time 8821.02ms, mfu 0.46%
iter 18: loss 0.7129, time 8822.46ms, mfu 0.46%
iter 19: loss 0.6702, time 8817.45ms, mfu 0.46%
iter 20: loss 0.7321, time 8809.00ms, mfu 0.46%
iter 21: loss 1.0225, time 8930.07ms, mfu 0.46%
iter 22: loss 0.9301, time 8822.82ms, mfu 0.46%
iter 23: loss 0.9763, time 8837.99ms, mfu 0.46%
iter 24: loss 0.9250, time 8857.17ms, mfu 0.46%
iter 25: loss 0.6499, time 8835.13ms, mfu 0.46%
iter 26: loss 0.6646, time 8839.44ms, mfu 0.46%
iter 27: loss 0.6305, time 8945.11ms, mfu 0.46%
iter 28: loss 0.6222, time 8849.22ms, mfu 0.46%
iter 29: loss 0.9136, time 8870.82ms, mfu 0.46%
iter 30: loss 0.6177, time 8880.67ms, mfu 0.46%
iter 31: loss 0.5529, time 8895.90ms, mfu 0.46%
iter 32: loss 0.6224, time 8992.23ms, mfu 0.46%
iter 33: loss 0.5952, time 8880.65ms, mfu 0.46%
iter 34: loss 0.9570, time 8880.51ms, mfu 0.46%
iter 35: loss 0.5189, time 8896.91ms, mfu 0.46%
iter 36: loss 0.4906, time 8870.57ms, mfu 0.46%
iter 37: loss 0.8046, time 8898.61ms, mfu 0.46%
iter 38: loss 0.6734, time 8980.82ms, mfu 0.46%
iter 39: loss 0.6970, time 8882.38ms, mfu 0.46%
iter 40: loss 0.4740, time 8913.64ms, mfu 0.46%
iter 41: loss 0.4728, time 8888.70ms, mfu 0.46%
iter 42: loss 0.5079, time 8875.21ms, mfu 0.46%
iter 43: loss 0.4436, time 8992.57ms, mfu 0.46%
iter 44: loss 0.5523, time 8864.76ms, mfu 0.46%
iter 45: loss 0.3962, time 8884.60ms, mfu 0.46%
iter 46: loss 0.5421, time 8885.14ms, mfu 0.46%
iter 47: loss 0.4684, time 8861.79ms, mfu 0.46%
iter 48: loss 0.3227, time 8954.64ms, mfu 0.46%
iter 49: loss 0.9072, time 8902.98ms, mfu 0.46%
iter 50: loss 0.3237, time 8883.90ms, mfu 0.46%
iter 51: loss 0.7237, time 8869.10ms, mfu 0.46%
iter 52: loss 0.2415, time 8851.09ms, mfu 0.46%
iter 53: loss 0.5990, time 8864.75ms, mfu 0.46%
