step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 0: loss 1.0640, time 8402.67ms, mfu -100.00%
iter 1: loss 1.0947, time 3044.49ms, mfu -100.00%
iter 2: loss 1.0503, time 3095.51ms, mfu -100.00%
iter 3: loss 1.0952, time 3094.80ms, mfu -100.00%
iter 4: loss 1.0427, time 3095.27ms, mfu -100.00%
iter 5: loss 1.0110, time 3151.45ms, mfu 0.45%
iter 6: loss 0.9839, time 3097.96ms, mfu 0.45%
iter 7: loss 0.9602, time 3095.24ms, mfu 0.45%
iter 8: loss 0.9495, time 3096.75ms, mfu 0.45%
iter 9: loss 1.0107, time 3107.16ms, mfu 0.45%
iter 10: loss 0.9380, time 3146.07ms, mfu 0.45%
iter 11: loss 0.9099, time 3118.90ms, mfu 0.45%
iter 12: loss 0.9009, time 3112.69ms, mfu 0.45%
iter 13: loss 0.8840, time 3106.79ms, mfu 0.45%
iter 14: loss 0.8887, time 3116.63ms, mfu 0.45%
iter 15: loss 0.8386, time 3114.62ms, mfu 0.45%
iter 16: loss 0.8784, time 3148.87ms, mfu 0.45%
iter 17: loss 0.8091, time 3112.80ms, mfu 0.45%
iter 18: loss 0.7554, time 3117.45ms, mfu 0.45%
iter 19: loss 0.7664, time 3105.09ms, mfu 0.45%
iter 20: loss 0.7988, time 3122.93ms, mfu 0.45%
iter 21: loss 0.8403, time 3152.87ms, mfu 0.45%
iter 22: loss 0.7107, time 3114.73ms, mfu 0.45%
iter 23: loss 0.8738, time 3105.86ms, mfu 0.45%
iter 24: loss 0.7920, time 3128.39ms, mfu 0.45%
iter 25: loss 0.8103, time 3104.65ms, mfu 0.45%
iter 26: loss 0.6848, time 3117.38ms, mfu 0.45%
iter 27: loss 0.7322, time 3165.81ms, mfu 0.45%
iter 28: loss 0.6747, time 3113.15ms, mfu 0.45%
iter 29: loss 0.7076, time 3120.79ms, mfu 0.45%
iter 30: loss 0.7100, time 3103.59ms, mfu 0.45%
iter 31: loss 0.8662, time 3130.78ms, mfu 0.45%
iter 32: loss 0.6631, time 3156.02ms, mfu 0.45%
iter 33: loss 0.7065, time 3111.40ms, mfu 0.45%
iter 34: loss 0.6494, time 3117.19ms, mfu 0.45%
iter 35: loss 0.6318, time 3131.48ms, mfu 0.45%
iter 36: loss 1.0546, time 3106.49ms, mfu 0.45%
iter 37: loss 0.9446, time 3136.18ms, mfu 0.45%
iter 38: loss 0.7312, time 3146.17ms, mfu 0.45%
iter 39: loss 0.6204, time 3132.82ms, mfu 0.45%
iter 40: loss 0.6368, time 3116.89ms, mfu 0.45%
iter 41: loss 0.6230, time 3124.62ms, mfu 0.45%
iter 42: loss 0.6183, time 3125.67ms, mfu 0.45%
iter 43: loss 0.6211, time 3156.19ms, mfu 0.45%
iter 44: loss 0.6169, time 3122.20ms, mfu 0.45%
iter 45: loss 0.8826, time 3119.09ms, mfu 0.45%
iter 46: loss 0.5764, time 3123.59ms, mfu 0.45%
iter 47: loss 0.6033, time 3129.45ms, mfu 0.45%
iter 48: loss 0.6731, time 3155.37ms, mfu 0.45%
iter 49: loss 0.5965, time 3146.74ms, mfu 0.45%
iter 50: loss 0.5035, time 3137.09ms, mfu 0.45%
iter 51: loss 0.5226, time 3129.04ms, mfu 0.45%
iter 52: loss 0.5109, time 3133.48ms, mfu 0.45%
iter 53: loss 0.5494, time 3130.98ms, mfu 0.45%
iter 54: loss 0.4562, time 3164.98ms, mfu 0.45%
iter 55: loss 0.5607, time 3142.43ms, mfu 0.45%
iter 56: loss 0.6077, time 3127.64ms, mfu 0.45%
iter 57: loss 0.2972, time 3131.61ms, mfu 0.45%
iter 58: loss 0.6123, time 3131.92ms, mfu 0.45%
iter 59: loss 0.5161, time 3172.35ms, mfu 0.45%
iter 60: loss 0.3966, time 3134.87ms, mfu 0.45%
iter 61: loss 0.5942, time 3130.72ms, mfu 0.45%
iter 62: loss 0.2490, time 3132.68ms, mfu 0.45%
iter 63: loss 0.6313, time 3131.77ms, mfu 0.45%
iter 64: loss 0.4978, time 3128.23ms, mfu 0.45%
iter 65: loss 0.5216, time 3171.40ms, mfu 0.45%
iter 66: loss 0.4838, time 3141.32ms, mfu 0.45%
iter 67: loss 0.6104, time 3136.76ms, mfu 0.45%
iter 68: loss 0.7426, time 3134.73ms, mfu 0.45%
iter 69: loss 0.4374, time 3133.67ms, mfu 0.45%
iter 70: loss 0.6349, time 3158.42ms, mfu 0.45%
iter 71: loss 0.5052, time 3136.52ms, mfu 0.45%
iter 72: loss 0.5307, time 3145.05ms, mfu 0.45%
iter 73: loss 0.3733, time 3136.57ms, mfu 0.45%
iter 74: loss 1.0256, time 3130.66ms, mfu 0.45%
iter 75: loss 0.6062, time 3137.14ms, mfu 0.45%
iter 76: loss 0.3613, time 3165.74ms, mfu 0.45%
iter 77: loss 0.4488, time 3146.71ms, mfu 0.45%
iter 78: loss 0.4961, time 3135.45ms, mfu 0.45%
iter 79: loss 0.6671, time 3128.76ms, mfu 0.45%
iter 80: loss 0.5518, time 3139.11ms, mfu 0.45%
iter 81: loss 0.5296, time 3160.43ms, mfu 0.45%
iter 82: loss 0.3055, time 3148.45ms, mfu 0.45%
iter 83: loss 0.2163, time 3133.09ms, mfu 0.45%
iter 84: loss 0.5839, time 3135.83ms, mfu 0.45%
iter 85: loss 0.6743, time 3134.84ms, mfu 0.45%
iter 86: loss 0.3654, time 3134.23ms, mfu 0.45%
iter 87: loss 0.2980, time 3174.46ms, mfu 0.45%
iter 88: loss 0.2866, time 3131.35ms, mfu 0.45%
iter 89: loss 0.3514, time 3138.53ms, mfu 0.45%
iter 90: loss 0.3811, time 3130.50ms, mfu 0.45%
iter 91: loss 0.2237, time 3145.64ms, mfu 0.45%
iter 92: loss 0.2433, time 3180.11ms, mfu 0.45%
iter 93: loss 0.5280, time 3144.64ms, mfu 0.45%
iter 94: loss 0.3392, time 3142.36ms, mfu 0.45%
iter 95: loss 0.3067, time 3150.69ms, mfu 0.45%
iter 96: loss 0.4246, time 3134.74ms, mfu 0.45%
iter 97: loss 0.1579, time 3179.65ms, mfu 0.45%
iter 98: loss 0.2143, time 3167.21ms, mfu 0.45%
iter 99: loss 0.5919, time 3145.27ms, mfu 0.45%
iter 100: loss 0.1836, time 3146.31ms, mfu 0.45%
iter 101: loss 0.2044, time 3135.62ms, mfu 0.45%
iter 102: loss 0.2086, time 3148.12ms, mfu 0.45%
iter 103: loss 0.2469, time 3199.95ms, mfu 0.45%
iter 104: loss 0.2085, time 3146.33ms, mfu 0.45%
iter 105: loss 0.2815, time 3153.28ms, mfu 0.45%
iter 106: loss 0.3931, time 3144.64ms, mfu 0.45%
iter 107: loss 0.3554, time 3149.58ms, mfu 0.45%
iter 108: loss 0.4424, time 3196.97ms, mfu 0.45%
iter 109: loss 0.2702, time 3147.24ms, mfu 0.45%
iter 110: loss 0.1419, time 3149.56ms, mfu 0.45%
iter 111: loss 0.7389, time 3160.02ms, mfu 0.45%
iter 112: loss 0.5668, time 3151.75ms, mfu 0.45%
iter 113: loss 0.2476, time 3152.03ms, mfu 0.45%
