step 0: classification- train loss 0.1049, classification-val loss 0.1036
[WANDB] Logging at iter 0: train 0.1048583984375, val 0.10356445610523224
iter 0: loss 1.0640, time 8068.01ms, mfu -100.00%
iter 1: loss 1.0598, time 3695.75ms, mfu -100.00%
iter 2: loss 1.0940, time 3740.25ms, mfu -100.00%
iter 3: loss 1.0574, time 3719.85ms, mfu -100.00%
iter 4: loss 1.0264, time 3733.50ms, mfu -100.00%
iter 5: loss 1.0413, time 3775.27ms, mfu 0.38%
iter 6: loss 1.0337, time 3738.60ms, mfu 0.38%
iter 7: loss 0.9785, time 3741.24ms, mfu 0.38%
iter 8: loss 1.0525, time 3726.27ms, mfu 0.38%
iter 9: loss 0.9656, time 3745.31ms, mfu 0.38%
iter 10: loss 1.0090, time 3791.93ms, mfu 0.38%
iter 11: loss 0.9580, time 3739.42ms, mfu 0.38%
iter 12: loss 0.9341, time 3766.29ms, mfu 0.38%
iter 13: loss 0.9082, time 3762.99ms, mfu 0.38%
iter 14: loss 0.8618, time 3766.22ms, mfu 0.38%
iter 15: loss 0.8494, time 3741.44ms, mfu 0.38%
iter 16: loss 0.9648, time 3755.03ms, mfu 0.38%
iter 17: loss 0.8049, time 3741.90ms, mfu 0.38%
iter 18: loss 0.7505, time 3756.80ms, mfu 0.38%
iter 19: loss 0.8459, time 3779.58ms, mfu 0.38%
iter 20: loss 0.7878, time 3724.09ms, mfu 0.38%
iter 21: loss 0.7095, time 3770.72ms, mfu 0.38%
iter 22: loss 0.7686, time 3836.59ms, mfu 0.38%
iter 23: loss 0.7114, time 3735.88ms, mfu 0.38%
iter 24: loss 0.7678, time 3743.86ms, mfu 0.38%
iter 25: loss 0.7119, time 3743.29ms, mfu 0.38%
iter 26: loss 0.6512, time 3967.61ms, mfu 0.37%
iter 27: loss 0.7351, time 3795.93ms, mfu 0.37%
iter 28: loss 0.9209, time 3733.42ms, mfu 0.37%
iter 29: loss 0.6597, time 3743.88ms, mfu 0.38%
iter 30: loss 0.6907, time 3720.68ms, mfu 0.38%
iter 31: loss 0.6555, time 3775.07ms, mfu 0.38%
iter 32: loss 0.6808, time 3835.59ms, mfu 0.38%
iter 33: loss 0.6713, time 3741.41ms, mfu 0.38%
iter 34: loss 0.7510, time 3771.41ms, mfu 0.38%
iter 35: loss 0.6622, time 3742.30ms, mfu 0.38%
iter 36: loss 0.6936, time 3751.43ms, mfu 0.38%
iter 37: loss 0.6608, time 3744.93ms, mfu 0.38%
iter 38: loss 0.8853, time 3811.13ms, mfu 0.38%
iter 39: loss 0.6951, time 3746.42ms, mfu 0.38%
