step 0: classification- train loss 1.0616, classification-val loss 1.0628
[WANDB] Logging at iter 0: train 1.0616455078125, val 1.062768578529358
iter 0: loss 1.0640, time 5214.37ms, mfu -100.00%
iter 1: loss 1.0833, time 3650.08ms, mfu -100.00%
iter 2: loss 1.0847, time 3711.04ms, mfu -100.00%
iter 3: loss 1.0540, time 3678.94ms, mfu -100.00%
iter 4: loss 1.0227, time 3708.36ms, mfu -100.00%
iter 5: loss 1.0544, time 3744.49ms, mfu 0.38%
iter 6: loss 0.9819, time 3690.67ms, mfu 0.38%
iter 7: loss 1.0173, time 3697.96ms, mfu 0.38%
iter 8: loss 1.0073, time 3727.23ms, mfu 0.38%
iter 9: loss 1.0112, time 3716.14ms, mfu 0.38%
iter 10: loss 0.9465, time 3745.47ms, mfu 0.38%
iter 11: loss 0.9473, time 3731.67ms, mfu 0.38%
iter 12: loss 0.9758, time 3919.91ms, mfu 0.38%
iter 13: loss 0.8508, time 4217.65ms, mfu 0.37%
iter 14: loss 0.8833, time 3845.63ms, mfu 0.37%
iter 15: loss 0.9792, time 3757.54ms, mfu 0.37%
iter 16: loss 0.7959, time 3857.53ms, mfu 0.37%
iter 17: loss 0.8262, time 3709.53ms, mfu 0.37%
iter 18: loss 0.8306, time 3734.93ms, mfu 0.37%
iter 19: loss 0.8027, time 3729.39ms, mfu 0.37%
iter 20: loss 0.8945, time 3732.43ms, mfu 0.38%
iter 21: loss 0.7510, time 4129.47ms, mfu 0.37%
iter 22: loss 0.7217, time 3963.40ms, mfu 0.37%
iter 23: loss 0.8308, time 3795.91ms, mfu 0.37%
iter 24: loss 0.8838, time 3737.71ms, mfu 0.37%
iter 25: loss 0.6382, time 3754.92ms, mfu 0.37%
iter 26: loss 0.6804, time 3741.71ms, mfu 0.37%
iter 27: loss 0.7146, time 3798.68ms, mfu 0.37%
iter 28: loss 0.7356, time 3814.03ms, mfu 0.37%
iter 29: loss 0.8979, time 3760.88ms, mfu 0.37%
iter 30: loss 0.6338, time 3755.48ms, mfu 0.37%
iter 31: loss 0.9016, time 3742.65ms, mfu 0.37%
iter 32: loss 0.7083, time 3860.05ms, mfu 0.37%
iter 33: loss 0.6366, time 3881.18ms, mfu 0.37%
iter 34: loss 0.6548, time 3766.87ms, mfu 0.37%
iter 35: loss 0.6754, time 3736.88ms, mfu 0.37%
iter 36: loss 0.6855, time 3759.09ms, mfu 0.37%
iter 37: loss 0.6638, time 3818.05ms, mfu 0.37%
iter 38: loss 0.6566, time 3779.36ms, mfu 0.37%
iter 39: loss 0.5834, time 3756.50ms, mfu 0.37%
iter 40: loss 0.5957, time 3740.41ms, mfu 0.37%
iter 41: loss 0.8817, time 3750.90ms, mfu 0.37%
iter 42: loss 0.6158, time 3776.50ms, mfu 0.37%
iter 43: loss 0.5502, time 3801.34ms, mfu 0.37%
iter 44: loss 0.9574, time 3750.31ms, mfu 0.37%
iter 45: loss 0.5537, time 3742.49ms, mfu 0.38%
iter 46: loss 0.6146, time 3861.41ms, mfu 0.37%
iter 47: loss 0.6186, time 3796.64ms, mfu 0.37%
iter 48: loss 1.0249, time 3759.75ms, mfu 0.37%
iter 49: loss 0.5616, time 3816.33ms, mfu 0.37%
iter 50: loss 0.4814, time 3752.23ms, mfu 0.37%
iter 51: loss 0.7209, time 3739.93ms, mfu 0.37%
iter 52: loss 0.6044, time 3809.39ms, mfu 0.37%
iter 53: loss 0.6662, time 3842.67ms, mfu 0.37%
iter 54: loss 0.5657, time 3868.68ms, mfu 0.37%
iter 55: loss 0.5061, time 3748.49ms, mfu 0.37%
iter 56: loss 0.7691, time 3790.81ms, mfu 0.37%
iter 57: loss 0.6242, time 3938.19ms, mfu 0.37%
iter 58: loss 0.7452, time 3754.96ms, mfu 0.37%
iter 59: loss 0.4327, time 3785.63ms, mfu 0.37%
iter 60: loss 0.6246, time 3743.43ms, mfu 0.37%
iter 61: loss 0.6049, time 3752.20ms, mfu 0.37%
iter 62: loss 0.7914, time 3758.72ms, mfu 0.37%
iter 63: loss 0.4637, time 3750.47ms, mfu 0.37%
iter 64: loss 0.2690, time 3768.30ms, mfu 0.37%
iter 65: loss 0.4378, time 3795.24ms, mfu 0.37%
iter 66: loss 0.5751, time 3773.81ms, mfu 0.37%
iter 67: loss 0.3419, time 3757.05ms, mfu 0.37%
iter 68: loss 0.3343, time 3762.01ms, mfu 0.37%
iter 69: loss 0.4367, time 3751.50ms, mfu 0.38%
iter 70: loss 0.6199, time 3802.12ms, mfu 0.37%
iter 71: loss 0.3788, time 3810.07ms, mfu 0.37%
iter 72: loss 0.5012, time 3761.81ms, mfu 0.37%
iter 73: loss 0.3796, time 3739.29ms, mfu 0.38%
iter 74: loss 0.6238, time 3969.56ms, mfu 0.37%
iter 75: loss 0.3250, time 3896.01ms, mfu 0.37%
iter 76: loss 0.6673, time 3859.66ms, mfu 0.37%
iter 77: loss 0.7835, time 3762.83ms, mfu 0.37%
iter 78: loss 0.3935, time 3766.04ms, mfu 0.37%
iter 79: loss 0.4781, time 3873.62ms, mfu 0.37%
iter 80: loss 0.3878, time 3897.03ms, mfu 0.37%
iter 81: loss 0.3702, time 3832.93ms, mfu 0.37%
iter 82: loss 0.4540, time 3852.49ms, mfu 0.37%
iter 83: loss 0.2692, time 3901.91ms, mfu 0.37%
iter 84: loss 0.4819, time 3816.36ms, mfu 0.37%
iter 85: loss 0.3223, time 3784.23ms, mfu 0.37%
iter 86: loss 0.6048, time 3806.53ms, mfu 0.37%
iter 87: loss 0.2436, time 3810.01ms, mfu 0.37%
iter 88: loss 0.2811, time 3764.67ms, mfu 0.37%
iter 89: loss 0.5051, time 3770.23ms, mfu 0.37%
iter 90: loss 0.2833, time 3770.38ms, mfu 0.37%
iter 91: loss 0.2803, time 3770.71ms, mfu 0.37%
iter 92: loss 0.2765, time 3813.33ms, mfu 0.37%
iter 93: loss 0.3613, time 3772.59ms, mfu 0.37%
iter 94: loss 0.3636, time 3769.25ms, mfu 0.37%
iter 95: loss 0.4475, time 3785.19ms, mfu 0.37%
iter 96: loss 0.1656, time 3770.01ms, mfu 0.37%
iter 97: loss 0.2049, time 3786.22ms, mfu 0.37%
iter 98: loss 0.1546, time 3846.96ms, mfu 0.37%
iter 99: loss 0.1630, time 3784.98ms, mfu 0.37%
iter 100: loss 0.5672, time 3780.28ms, mfu 0.37%
