step 0: classification- train loss 2.5660, classification-val loss 2.5894
[WANDB] Logging at iter 0: train 2.565965175628662, val 2.5894088745117188
iter 0: loss 4.1699, time 4005.91ms, mfu -100.00%
iter 1: loss 4.0254, time 513.27ms, mfu -100.00%
iter 2: loss 3.9492, time 759.24ms, mfu -100.00%
iter 3: loss 3.9902, time 758.35ms, mfu -100.00%
iter 4: loss 0.0744, time 749.84ms, mfu -100.00%
iter 5: loss 2.1271, time 751.19ms, mfu 0.17%
iter 6: loss 1.4068, time 752.77ms, mfu 0.17%
iter 7: loss 1.4888, time 811.67ms, mfu 0.16%
iter 8: loss 0.2433, time 799.14ms, mfu 0.16%
iter 9: loss 0.4230, time 797.77ms, mfu 0.16%
iter 10: loss 0.5038, time 803.86ms, mfu 0.16%
iter 11: loss 1.2632, time 795.31ms, mfu 0.16%
iter 12: loss 0.9780, time 802.52ms, mfu 0.16%
iter 13: loss 0.7395, time 802.59ms, mfu 0.16%
iter 14: loss 0.3191, time 804.18ms, mfu 0.16%
iter 15: loss 1.0396, time 808.92ms, mfu 0.16%
iter 16: loss 0.1687, time 803.43ms, mfu 0.16%
iter 17: loss 0.2028, time 806.84ms, mfu 0.16%
iter 18: loss 0.8420, time 804.04ms, mfu 0.16%
iter 19: loss 0.3594, time 809.72ms, mfu 0.16%
iter 20: loss 0.8870, time 788.83ms, mfu 0.16%
iter 21: loss 0.7335, time 816.03ms, mfu 0.16%
iter 22: loss 0.7244, time 807.35ms, mfu 0.16%
iter 23: loss 0.5618, time 806.16ms, mfu 0.16%
iter 24: loss 1.2930, time 820.94ms, mfu 0.16%
iter 25: loss 1.3599, time 796.26ms, mfu 0.16%
iter 26: loss 0.2087, time 812.52ms, mfu 0.16%
iter 27: loss 0.8977, time 826.49ms, mfu 0.15%
iter 28: loss 0.2649, time 780.40ms, mfu 0.16%
iter 29: loss 0.8486, time 810.39ms, mfu 0.15%
iter 30: loss 1.0144, time 802.90ms, mfu 0.15%
iter 31: loss 0.5286, time 811.09ms, mfu 0.15%
iter 32: loss 0.8953, time 808.89ms, mfu 0.15%
iter 33: loss 0.7756, time 799.77ms, mfu 0.15%
iter 34: loss 0.6570, time 806.52ms, mfu 0.15%
iter 35: loss 0.4835, time 806.69ms, mfu 0.15%
iter 36: loss 0.6741, time 806.69ms, mfu 0.15%
iter 37: loss 0.1891, time 798.86ms, mfu 0.15%
iter 38: loss 0.9731, time 809.19ms, mfu 0.15%
iter 39: loss 0.2319, time 800.36ms, mfu 0.15%
iter 40: loss 0.6858, time 805.07ms, mfu 0.15%
iter 41: loss 0.3676, time 809.85ms, mfu 0.15%
iter 42: loss 0.8149, time 803.05ms, mfu 0.15%
iter 43: loss 0.7412, time 804.43ms, mfu 0.15%
iter 44: loss 1.1470, time 805.54ms, mfu 0.15%
iter 45: loss 0.6216, time 810.92ms, mfu 0.15%
iter 46: loss 0.2327, time 799.61ms, mfu 0.15%
iter 47: loss 2.6885, time 804.51ms, mfu 0.15%
iter 48: loss 2.7505, time 807.97ms, mfu 0.15%
iter 49: loss 0.5593, time 802.92ms, mfu 0.15%
step 50: classification- train loss 0.8217, classification-val loss 0.6639
[WANDB] Logging at iter 50: train 0.8217407464981079, val 0.663867175579071
saving checkpoint to out-sentiment-small
iter 50: loss 0.8738, time 5462.57ms, mfu 0.14%
iter 51: loss 0.7625, time 811.47ms, mfu 0.14%
iter 52: loss 0.3793, time 805.88ms, mfu 0.14%
iter 53: loss 0.9572, time 793.13ms, mfu 0.14%
iter 54: loss 0.8726, time 809.85ms, mfu 0.15%
iter 55: loss 1.6763, time 805.02ms, mfu 0.15%
iter 56: loss 1.5352, time 799.93ms, mfu 0.15%
iter 57: loss 0.5062, time 812.77ms, mfu 0.15%
iter 58: loss 0.6194, time 813.59ms, mfu 0.15%
iter 59: loss 0.4641, time 804.16ms, mfu 0.15%
iter 60: loss 1.5337, time 799.05ms, mfu 0.15%
iter 61: loss 2.0766, time 813.33ms, mfu 0.15%
iter 62: loss 0.1206, time 801.80ms, mfu 0.15%
iter 63: loss 1.3432, time 844.37ms, mfu 0.15%
iter 64: loss 2.6152, time 771.36ms, mfu 0.15%
iter 65: loss 0.0902, time 765.94ms, mfu 0.15%
iter 66: loss 1.5367, time 814.71ms, mfu 0.15%
iter 67: loss 0.0534, time 808.83ms, mfu 0.15%
iter 68: loss 1.5611, time 801.30ms, mfu 0.15%
iter 69: loss 0.0697, time 800.24ms, mfu 0.15%
iter 70: loss 1.4711, time 816.79ms, mfu 0.15%
iter 71: loss 1.2939, time 815.26ms, mfu 0.15%
iter 72: loss 1.3246, time 802.30ms, mfu 0.15%
iter 73: loss 2.2227, time 801.01ms, mfu 0.15%
iter 74: loss 0.8767, time 812.63ms, mfu 0.15%
iter 75: loss 0.8206, time 797.17ms, mfu 0.15%
iter 76: loss 0.7979, time 810.36ms, mfu 0.15%
iter 77: loss 0.5347, time 800.75ms, mfu 0.15%
iter 78: loss 0.7192, time 809.16ms, mfu 0.15%
iter 79: loss 0.6735, time 806.61ms, mfu 0.15%
iter 80: loss 0.1661, time 806.92ms, mfu 0.15%
iter 81: loss 1.2135, time 795.22ms, mfu 0.15%
iter 82: loss 2.7305, time 817.22ms, mfu 0.15%
iter 83: loss 1.5063, time 802.82ms, mfu 0.15%
iter 84: loss 1.4205, time 815.44ms, mfu 0.15%
iter 85: loss 1.3473, time 806.81ms, mfu 0.15%
iter 86: loss 1.2231, time 804.46ms, mfu 0.15%
iter 87: loss 2.2575, time 807.21ms, mfu 0.15%
iter 88: loss 0.2383, time 795.48ms, mfu 0.15%
iter 89: loss 0.7979, time 811.55ms, mfu 0.15%
iter 90: loss 0.5077, time 821.18ms, mfu 0.15%
iter 91: loss 0.7043, time 802.37ms, mfu 0.15%
iter 92: loss 0.9771, time 807.68ms, mfu 0.15%
iter 93: loss 1.1118, time 818.04ms, mfu 0.15%
iter 94: loss 1.1699, time 804.34ms, mfu 0.15%
iter 95: loss 1.1162, time 811.79ms, mfu 0.15%
iter 96: loss 0.7183, time 811.45ms, mfu 0.15%
iter 97: loss 0.7725, time 801.56ms, mfu 0.15%
iter 98: loss 0.9744, time 828.88ms, mfu 0.15%
iter 99: loss 0.6318, time 810.15ms, mfu 0.15%
step 100: classification- train loss 0.7246, classification-val loss 0.7106
[WANDB] Logging at iter 100: train 0.7245849370956421, val 0.7105957269668579
saving checkpoint to out-sentiment-small
iter 100: loss 0.7180, time 5623.85ms, mfu 0.14%
iter 101: loss 0.7795, time 795.88ms, mfu 0.14%
iter 102: loss 0.6648, time 802.76ms, mfu 0.14%
iter 103: loss 0.5972, time 823.43ms, mfu 0.14%
iter 104: loss 0.7825, time 814.66ms, mfu 0.14%
iter 105: loss 1.1040, time 821.14ms, mfu 0.15%
